124,24,13,482,483,299,0,0,1
142,517,527,973,961,300,0,0,1
142,534,13,960,481,300,0,0,0
8,518,520,971,982,303,0,0,3
150,535,521,966,976,305,0,0,2
149,524,513,982,983,308,0,0,3
80,10,538,475,967,309,0,0,1
115,31,15,468,463,310,0,0,1
151,528,15,970,465,311,0,0,1
43,524,13,982,483,312,0,0,1
78,519,513,978,987,315,0,0,3
34,24,513,482,983,316,0,0,1
8,535,521,966,976,317,0,0,1
120,537,528,984,981,318,0,0,1
191,520,527,988,959,318,0,0,0
31,24,513,482,983,319,0,0,1
98,28,18,459,460,320,0,0,1
44,14,10,483,460,321,0,0,1
150,513,510,973,986,322,0,0,1
8,528,515,970,965,323,0,0,1
130,514,18,961,471,324,0,0,1
92,534,513,960,981,325,0,0,1
192,534,13,960,481,328,0,0,3
14,28,18,459,460,333,0,0,5
157,34,13,460,481,336,0,0,3
98,39,13,469,484,339,0,0,3
14,528,515,970,965,341,0,0,2
78,534,513,960,981,342,0,0,1
67,536,23,960,464,344,0,0,2
150,530,516,985,964,345,0,0,1
122,531,15,968,463,346,0,0,1
191,510,538,975,967,347,0,0,1
142,513,510,973,986,348,0,0,1
150,533,537,960,979,348,0,0,0
122,520,27,988,459,348,0,0,0
87,524,13,982,483,349,0,0,1
23,528,515,970,965,352,0,0,3
179,34,13,460,481,353,0,0,1
142,536,523,960,964,356,0,0,3
193,34,13,460,481,356,0,0,0
34,28,522,465,964,360,0,0,4
151,538,26,978,463,364,0,0,4
80,38,523,459,960,365,0,0,1
23,528,18,959,460,366,0,0,1
36,526,532,981,961,370,0,0,4
8,517,527,973,961,373,0,0,3
179,31,515,468,963,374,0,0,1
192,534,513,960,981,377,0,0,3
120,34,513,460,981,380,0,0,3
116,524,13,982,483,383,0,0,3
191,538,523,959,960,387,0,0,4
191,526,532,981,961,388,0,0,1
123,533,537,960,979,388,0,0,0
116,12,532,488,983,389,0,0,1
48,528,18,959,460,394,0,0,5
65,524,513,982,983,397,0,0,3
175,19,521,460,977,400,0,0,3
44,28,15,470,465,402,0,0,2
179,524,13,982,483,403,0,0,1
78,517,527,973,961,406,0,0,3
67,510,38,975,467,412,0,0,6
130,519,21,960,477,413,0,0,1
124,535,521,966,976,414,0,0,1
167,534,13,960,481,417,0,0,3
42,514,12,980,477,420,0,0,3
193,539,513,969,984,421,0,0,1
124,529,517,969,968,422,0,0,1
150,512,532,988,983,423,0,0,1
175,38,526,478,963,423,0,0,0
7,534,13,960,481,424,0,0,1
187,524,521,979,976,427,0,0,3
8,514,512,980,977,431,0,0,4
83,34,13,460,481,432,0,0,1
82,28,518,459,960,435,0,0,3
191,517,527,973,961,438,0,0,3
146,531,524,963,965,440,0,0,2
4,14,512,480,977,441,0,0,1
171,537,28,984,481,442,0,0,1
14,539,518,972,966,447,0,0,5
124,539,513,969,984,448,0,0,1
82,24,513,482,983,449,0,0,1
